SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
059_pect_phfirst_052013,right,2.3659,y = -2.3659x + 14.3904,2.5926,2.1645,2.4045
059_pect_phfirst_052013,whole,2.3530,y = -2.3530x + 14.9118,2.5755,2.1696,2.3745
062_pect_phfirst_121610,left,2.3767,y = -2.3767x + 14.1482,2.5520,2.2220,2.3965
062_pect_phfirst_121610,right,2.3973,y = -2.3973x + 14.4437,2.6273,2.1829,2.4456
062_pect_phfirst_121610,whole,2.3862,y = -2.3862x + 14.9964,2.5788,2.1995,2.4260
063_pect_phfirst_101712,left,2.4318,y = -2.4318x + 14.5633,2.6265,2.2167,2.4231
063_pect_phfirst_101712,right,2.4501,y = -2.4501x + 14.7253,2.6482,2.2050,2.4726
063_pect_phfirst_101712,whole,2.4406,y = -2.4406x + 15.3395,2.6548,2.2077,2.4591
064_pect_phfirst_042711,left,2.3415,y = -2.3415x + 14.2411,2.6043,2.0889,2.3987
064_pect_phfirst_042711,right,2.3468,y = -2.3468x + 14.4663,2.6265,2.0839,2.3922
064_pect_phfirst_042711,whole,2.3448,y = -2.3448x + 15.0535,2.6337,2.0855,2.3940
065_pect_phfirst_030712,left,2.3726,y = -2.3726x + 14.0015,2.6173,2.1598,2.4240
065_pect_phfirst_030712,right,2.3684,y = -2.3684x + 14.1954,2.6626,2.1181,2.4254
065_pect_phfirst_030712,whole,2.3690,y = -2.3690x + 14.7939,2.6077,2.1387,2.4301
066_pect_phfirst_040512,left,2.4031,y = -2.4031x + 13.6753,2.5245,2.2892,2.4353
066_pect_phfirst_040512,right,2.4458,y = -2.4458x + 14.0287,2.6101,2.2705,2.4615
066_pect_phfirst_040512,whole,2.4230,y = -2.4230x + 14.5525,2.5302,2.2877,2.4365
067_pect_phfirst_081213,left,2.3438,y = -2.3438x + 13.6158,2.4984,2.2020,2.3735
067_pect_phfirst_081213,right,2.3694,y = -2.3694x + 13.8981,2.4851,2.2109,2.4039
067_pect_phfirst_081213,whole,2.3561,y = -2.3561x + 14.4558,2.4750,2.2072,2.3934
068_pect_phfirst_020413,left,2.4252,y = -2.4252x + 14.4546,2.6705,2.1958,2.4435
068_pect_phfirst_020413,right,2.4329,y = -2.4329x + 14.6183,2.6357,2.1841,2.4520
068_pect_phfirst_020413,whole,2.4314,y = -2.4314x + 15.2363,2.6660,2.1907,2.4485
070_pect_phfirst_121212,left,2.4398,y = -2.4398x + 14.1194,2.5566,2.2347,2.4654
070_pect_phfirst_121212,right,2.4797,y = -2.4797x + 14.4408,2.6857,2.2465,2.4914
070_pect_phfirst_121212,whole,2.4627,y = -2.4627x + 14.9862,2.6072,2.2425,2.4928
071_pect_phfirst_012314,left,2.4086,y = -2.4086x + 13.7772,2.5914,2.2373,2.4051
071_pect_phfirst_012314,right,2.3767,y = -2.3767x + 13.8725,2.6085,2.1768,2.4197
071_pect_phfirst_012314,whole,2.3887,y = -2.3887x + 14.5146,2.5855,2.2124,2.3974
072_pect_phfirst_012314,left,2.3113,y = -2.3113x + 14.0917,2.5503,2.1189,2.3191
072_pect_phfirst_012314,right,2.3414,y = -2.3414x + 14.2956,2.5874,2.1152,2.3712
072_pect_phfirst_012314,whole,2.3274,y = -2.3274x + 14.8914,2.5936,2.1183,2.3687
073_pect_phfirst_071012,left,2.4223,y = -2.4223x + 14.5867,2.6080,2.2374,2.4345
073_pect_phfirst_071012,right,2.4787,y = -2.4787x + 15.0412,2.6809,2.2347,2.4984
073_pect_phfirst_071012,whole,2.4561,y = -2.4561x + 15.5326,2.6430,2.2358,2.4716
078_pect_phfirst_061113,right,2.4039,y = -2.4039x + 13.3201,2.4972,2.3343,2.4032
079_pect_phfirst_041212,left,2.3993,y = -2.3993x + 14.4329,2.6563,2.1880,2.4395
079_pect_phfirst_041212,right,2.4051,y = -2.4051x + 14.6271,2.6359,2.1951,2.4469
079_pect_phfirst_041212,whole,2.4012,y = -2.4012x + 15.2260,2.6279,2.1894,2.4450
080_pect_phfirst_072313,left,2.3231,y = -2.3231x + 13.8425,2.4973,2.1684,2.3400
080_pect_phfirst_072313,right,2.3752,y = -2.3752x + 14.2299,2.6242,2.1712,2.4233
080_pect_phfirst_072313,whole,2.3511,y = -2.3511x + 14.7453,2.5176,2.1669,2.3762
081_pect_phfirst_031213,right,2.3654,y = -2.3654x + 12.8640,2.6254,2.1733,2.3925
082_pect_phfirst_081012,left,2.3835,y = -2.3835x + 14.4341,2.6616,2.1514,2.4363
082_pect_phfirst_081012,right,2.3988,y = -2.3988x + 14.5855,2.6524,2.1326,2.4649
082_pect_phfirst_081012,whole,2.3912,y = -2.3912x + 15.2055,2.6380,2.1402,2.4508
086_pect_phfirst_073012,left,2.3447,y = -2.3447x + 13.9191,2.5051,2.2259,2.3496
086_pect_phfirst_073012,right,2.3827,y = -2.3827x + 13.9586,2.5735,2.2383,2.4043
086_pect_phfirst_073012,whole,2.3605,y = -2.3605x + 14.6267,2.5263,2.2320,2.3772
087_pect_phfirst_042613,left,2.4386,y = -2.4386x + 14.3204,2.6053,2.2503,2.4524
087_pect_phfirst_042613,right,2.4497,y = -2.4497x + 14.3635,2.6107,2.2449,2.4581
087_pect_phfirst_042613,whole,2.4436,y = -2.4436x + 15.0343,2.6137,2.2473,2.4637
088_pect_phfirst_052913,left,2.4032,y = -2.4032x + 14.3365,2.6011,2.2161,2.4103
088_pect_phfirst_052913,right,2.4353,y = -2.4353x + 14.4990,2.6519,2.2127,2.4389
088_pect_phfirst_052913,whole,2.4199,y = -2.4199x + 15.1140,2.5853,2.2132,2.4388
089_pect_phfirst_081413,left,2.3674,y = -2.3674x + 14.1646,2.5643,2.1941,2.3850
089_pect_phfirst_081413,right,2.3449,y = -2.3449x + 14.4397,2.6158,2.1496,2.3701
089_pect_phfirst_081413,whole,2.3544,y = -2.3544x + 15.0048,2.6275,2.1685,2.3821
090_pect_phfirst_030812,left,2.3668,y = -2.3668x + 14.4858,2.6239,2.1850,2.3850
090_pect_phfirst_030812,right,2.3641,y = -2.3641x + 14.7227,2.6481,2.1542,2.4025
090_pect_phfirst_030812,whole,2.3655,y = -2.3655x + 15.3055,2.5902,2.1675,2.3842
091_pect_phfirst_090913,left,2.3315,y = -2.3315x + 14.0600,2.5292,2.1714,2.3573
091_pect_phfirst_090913,right,2.3226,y = -2.3226x + 14.2291,2.5995,2.1578,2.3391
091_pect_phfirst_090913,whole,2.3256,y = -2.3256x + 14.8392,2.5825,2.1648,2.3445
093_pect_phfrist_111612,right,2.4284,y = -2.4284x + 13.8286,2.4901,2.2994,2.4481
093_pect_phfrist_111612,whole,2.4054,y = -2.4054x + 14.2799,2.4767,2.3059,2.4144
096_pect_phfirst_053013_exp,left,2.3343,y = -2.3343x + 13.3822,2.4574,2.2265,2.3449
096_pect_phfirst_053013_exp,right,2.3808,y = -2.3808x + 13.9056,2.5423,2.2299,2.4062
096_pect_phfirst_053013_exp,whole,2.3572,y = -2.3572x + 14.3619,2.5116,2.2282,2.3809
096_pect_phfirst_053013,left,2.3257,y = -2.3257x + 13.8578,2.5462,2.1516,2.3601
096_pect_phfirst_053013,right,2.3091,y = -2.3091x + 14.1386,2.6248,2.1049,2.3435
