SID,Lobe,Fractal_Dimension,Linear_Fit,R_Squared,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
062_pect_phfirst_121610,whole,2.3862,y = -2.3862x + 14.9964,0.9987004495594016,2.5788,2.1995,2.4260
063_pect_phfirst_101712,left,2.4318,y = -2.4318x + 14.5633,0.998311949479939,2.6265,2.2167,2.4231
063_pect_phfirst_101712,right,2.4501,y = -2.4501x + 14.7253,0.9980889221484541,2.6482,2.2050,2.4726
063_pect_phfirst_101712,whole,2.4406,y = -2.4406x + 15.3395,0.998203001418576,2.6548,2.2077,2.4591
064_pect_phfirst_042711,left,2.3415,y = -2.3415x + 14.2411,0.9974098976946463,2.6043,2.0889,2.3987
064_pect_phfirst_042711,right,2.3468,y = -2.3468x + 14.4663,0.9970634832403344,2.6265,2.0839,2.3922
064_pect_phfirst_042711,whole,2.3448,y = -2.3448x + 15.0535,0.9971986393520149,2.6337,2.0855,2.3940
065_pect_phfirst_030712,left,2.3726,y = -2.3726x + 14.0015,0.9982758745152673,2.6173,2.1598,2.4240
065_pect_phfirst_030712,right,2.3684,y = -2.3684x + 14.1954,0.9976237252955124,2.6626,2.1181,2.4254
065_pect_phfirst_030712,whole,2.3690,y = -2.3690x + 14.7939,0.9979669429533915,2.6077,2.1387,2.4301
066_pect_phfirst_040512,left,2.4031,y = -2.4031x + 13.6753,0.99957499899752,2.5245,2.2892,2.4353
066_pect_phfirst_040512,right,2.4458,y = -2.4458x + 14.0287,0.9990325608648325,2.6101,2.2705,2.4615
066_pect_phfirst_040512,whole,2.4230,y = -2.4230x + 14.5525,0.9993653473458732,2.5302,2.2877,2.4365
067_pect_phfirst_081213,left,2.3438,y = -2.3438x + 13.6158,0.9992210507133197,2.4984,2.2020,2.3735
067_pect_phfirst_081213,right,2.3694,y = -2.3694x + 13.8981,0.9990443586101503,2.4851,2.2109,2.4039
067_pect_phfirst_081213,whole,2.3561,y = -2.3561x + 14.4558,0.999183766198053,2.4750,2.2072,2.3934
068_pect_phfirst_020413,left,2.4252,y = -2.4252x + 14.4546,0.9982788698245955,2.6705,2.1958,2.4435
068_pect_phfirst_020413,right,2.4329,y = -2.4329x + 14.6183,0.9979516756428438,2.6357,2.1841,2.4520
068_pect_phfirst_020413,whole,2.4314,y = -2.4314x + 15.2363,0.9980474145428339,2.6660,2.1907,2.4485
070_pect_phfirst_121212,left,2.4398,y = -2.4398x + 14.1194,0.998947156198201,2.5566,2.2347,2.4654
070_pect_phfirst_121212,right,2.4797,y = -2.4797x + 14.4408,0.9985204582639887,2.6857,2.2465,2.4914
070_pect_phfirst_121212,whole,2.4627,y = -2.4627x + 14.9862,0.9987003757963125,2.6072,2.2425,2.4928
071_pect_phfirst_012314,left,2.4086,y = -2.4086x + 13.7772,0.9990043477853201,2.5914,2.2373,2.4051
071_pect_phfirst_012314,right,2.3767,y = -2.3767x + 13.8725,0.9984701561088049,2.6085,2.1768,2.4197
071_pect_phfirst_012314,whole,2.3887,y = -2.3887x + 14.5146,0.9988176723838574,2.5855,2.2124,2.3974
072_pect_phfirst_012314,left,2.3113,y = -2.3113x + 14.0917,0.9982098732679997,2.5503,2.1189,2.3191
072_pect_phfirst_012314,right,2.3414,y = -2.3414x + 14.2956,0.9977550742805502,2.5874,2.1152,2.3712
072_pect_phfirst_012314,whole,2.3274,y = -2.3274x + 14.8914,0.9980031765032836,2.5936,2.1183,2.3687
073_pect_phfirst_071012,left,2.4223,y = -2.4223x + 14.5867,0.9987571378638229,2.6080,2.2374,2.4345
073_pect_phfirst_071012,right,2.4787,y = -2.4787x + 15.0412,0.9981654402139325,2.6809,2.2347,2.4984
073_pect_phfirst_071012,whole,2.4561,y = -2.4561x + 15.5326,0.9984077583606945,2.6430,2.2358,2.4716
078_pect_phfirst_061113,right,2.4039,y = -2.4039x + 13.3201,0.9998362927396629,2.4972,2.3343,2.4032
079_pect_phfirst_041212,left,2.3993,y = -2.3993x + 14.4329,0.9983115120239647,2.6563,2.1880,2.4395
079_pect_phfirst_041212,right,2.4051,y = -2.4051x + 14.6271,0.9983618742812266,2.6359,2.1951,2.4469
079_pect_phfirst_041212,whole,2.4012,y = -2.4012x + 15.2260,0.9983719868069096,2.6279,2.1894,2.4450
080_pect_phfirst_072313,left,2.3231,y = -2.3231x + 13.8425,0.9989303806902093,2.4973,2.1684,2.3400
080_pect_phfirst_072313,right,2.3752,y = -2.3752x + 14.2299,0.9983009041368107,2.6242,2.1712,2.4233
080_pect_phfirst_072313,whole,2.3511,y = -2.3511x + 14.7453,0.99859314005995,2.5176,2.1669,2.3762
081_pect_phfirst_031213,right,2.3654,y = -2.3654x + 12.8640,0.9989708991478753,2.6254,2.1733,2.3925
082_pect_phfirst_081012,left,2.3835,y = -2.3835x + 14.4341,0.9980061091598847,2.6616,2.1514,2.4363
082_pect_phfirst_081012,right,2.3988,y = -2.3988x + 14.5855,0.9974025184363208,2.6524,2.1326,2.4649
082_pect_phfirst_081012,whole,2.3912,y = -2.3912x + 15.2055,0.9976816301745293,2.6380,2.1402,2.4508
086_pect_phfirst_073012,left,2.3447,y = -2.3447x + 13.9191,0.9994311220781583,2.5051,2.2259,2.3496
086_pect_phfirst_073012,right,2.3827,y = -2.3827x + 13.9586,0.9992169528049756,2.5735,2.2383,2.4043
086_pect_phfirst_073012,whole,2.3605,y = -2.3605x + 14.6267,0.9993728013758407,2.5263,2.2320,2.3772
