feature,lobe,artery_or_vein,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_1_1_SCALE__Fractal_Dimension,whole,,1.1,91,2.385781494,0.050741527,2.254851165,2.354590159,2.386040536,2.418930221,2.496627714,37,2.396752123,0.047564308,2.287552436,2.370181696,2.394131268,2.435859315,2.496627714,12,2.376203135,0.065206553,2.262404807,2.327758021,2.377847733,2.41642665,2.471089269,42,2.378853567,0.048372892,2.254851165,2.35258071,2.38168698,2.414850277,2.480586058,,0.242248899,0.155923405,0.102210882,0.058552364,0.877762345,0.437998008
FDs_FACTOR_1_2_SCALE__Fractal_Dimension,whole,,1.2,91,2.408790788,0.051208014,2.275832034,2.377045482,2.408548275,2.44150769,2.520565569,37,2.419717916,0.049104867,2.3091616,2.392635144,2.414968998,2.456637061,2.520565569,12,2.399668363,0.064654998,2.288759273,2.351131843,2.400177128,2.441209229,2.496021076,42,2.401770916,0.048320056,2.275832034,2.374002229,2.402889877,2.435020545,2.506311539,,0.261946741,0.155923405,0.106163242,0.055186731,0.902545496,0.429811848
FDs_FACTOR_1_3_SCALE__Fractal_Dimension,whole,,1.3,91,2.428095329,0.052578631,2.296673894,2.396525912,2.424228549,2.461687973,2.541350222,37,2.440535947,0.051801063,2.328691253,2.41172367,2.434804675,2.471455653,2.541350222,12,2.420180055,0.063853529,2.309783425,2.371638837,2.419844173,2.460268752,2.519197722,42,2.419397245,0.048815145,2.296673894,2.393040718,2.418234141,2.448125091,2.529718653,,0.269697186,0.145061116,0.065796351,0.042332432,0.96374301,0.495849827
FDs_FACTOR_1_4_SCALE__Fractal_Dimension,whole,,1.4,91,2.444938651,0.05303754,2.314485582,2.40888036,2.439708711,2.475668664,2.560294724,37,2.456356335,0.053053776,2.345961475,2.425867696,2.448710058,2.487744223,2.560294724,12,2.437559276,0.062965311,2.32987787,2.390047133,2.435905109,2.478698588,2.538907776,42,2.436988609,0.049410319,2.314485582,2.408099327,2.437081567,2.470234543,2.549995069,,0.31345995,0.173197231,0.097109424,0.065765195,0.973670985,0.495849827
FDs_FACTOR_1_5_SCALE__Fractal_Dimension,whole,,1.5,91,2.460270759,0.052530346,2.329966452,2.422191847,2.456385017,2.491914228,2.576361056,37,2.469863798,0.053163416,2.359837735,2.436360992,2.464084331,2.498483352,2.576361056,12,2.453558233,0.062207947,2.347507581,2.40682006,2.451635988,2.49513362,2.556960944,42,2.453737612,0.048963491,2.329966452,2.422947146,2.452164823,2.485898057,2.568191789,,0.380252182,0.198049793,0.164569422,0.083735919,0.991639376,0.495849827
FDs_FACTOR_0_5_SCALE_20SizeBy1__Fractal_Dimension,whole,,0.5,91,1.973292795,0.050577594,1.828379924,1.939868098,1.975996873,2.00707682,2.097277772,37,1.987701663,0.049425546,1.859603126,1.960631187,1.982278359,2.025327237,2.097277772,12,1.971401421,0.041828229,1.904838678,1.948526183,1.965347678,1.992340285,2.052166155,42,1.961139662,0.051587216,1.828379924,1.923173052,1.969535757,2.003148112,2.064330309,,0.30946789,0.134720114,0.022496915,0.021744666,0.530800959,0.312439575
FDs_FACTOR_0_6_SCALE_20SizeBy1__Fractal_Dimension,whole,,0.6,91,2.079883561,0.049551732,1.939515742,2.044317745,2.082791714,2.113555999,2.200502797,37,2.093315665,0.048073389,1.971797732,2.067354969,2.087301834,2.129383207,2.200502797,12,2.078433259,0.041193451,2.012453433,2.052722488,2.073245308,2.101547494,2.156538442,42,2.068464889,0.051072138,1.939515742,2.032134569,2.07403458,2.110488417,2.170148178,,0.340829182,0.179216169,0.029503098,0.025575747,0.53820548,0.305112133
FDs_FACTOR_0_7_SCALE_20SizeBy1__Fractal_Dimension,whole,,0.7,91,2.172263822,0.048548468,2.036131541,2.135980111,2.175228203,2.204864907,2.289677488,37,2.184560447,0.046710704,2.070632885,2.15794451,2.17880559,2.219923802,2.289677488,12,2.171647155,0.040188399,2.107877217,2.14418105,2.165657795,2.195900587,2.247438523,42,2.161607273,0.050712674,2.036131541,2.126893566,2.164265766,2.202717764,2.261863571,,0.39487228,0.185364995,0.040610015,0.043226414,0.531371415,0.305112133
FDs_FACTOR_0_8_SCALE_20SizeBy1__Fractal_Dimension,whole,,0.8,91,2.253408863,0.047392705,2.119460283,2.218454963,2.255406116,2.284649931,2.365676664,37,2.265010569,0.045029713,2.158071166,2.240778291,2.260830093,2.299135597,2.365676664,12,2.253002093,0.038669898,2.192948481,2.226534455,2.245876545,2.278137475,2.327396089,42,2.243304532,0.05022647,2.119460283,2.211001317,2.244722231,2.283284341,2.341601719,,0.411511885,0.198049793,0.047804124,0.058552364,0.539904002,0.305112133
FDs_FACTOR_0_9_SCALE_20SizeBy1__Fractal_Dimension,whole,,0.9,91,2.324336553,0.045854249,2.194276086,2.292814621,2.326618576,2.354624832,2.429726733,37,2.335281321,0.042949993,2.234622996,2.313805876,2.328797387,2.368478578,2.429726733,12,2.324035562,0.037415863,2.26612368,2.298558826,2.31650717,2.350098533,2.396777512,42,2.314780731,0.049178122,2.194276086,2.283270947,2.317093702,2.352930946,2.410313249,,0.421230006,0.198049793,0.053517084,0.070944141,0.549533275,0.312439575
