feature,lobe,artery_or_vein,FD_type,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_DNN_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1,90,1.959686911,0.078793015,1.7260808,1.917156938,1.964957919,2.012740547,2.146529213,37,2.008855841,0.05619296,1.892295547,1.970976242,2.010651786,2.035476778,2.146529213,12,1.94249025,0.092331093,1.743389637,1.91520087,1.95643622,1.994044468,2.075870616,41,1.920348118,0.068673691,1.7260808,1.889241419,1.9200785,1.973288174,2.044531966,,0.004227396,0.010352306,2.83E-08,7.88E-08,0.368896282,0.095600877
FDs_DNN_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1,91,2.106428251,0.081549482,1.836123855,2.066083554,2.108567782,2.166623288,2.254086938,37,2.149655584,0.063444456,1.992110918,2.100922916,2.162420866,2.193473726,2.254086938,12,2.071675019,0.102769605,1.836123855,2.054865339,2.101141081,2.136162343,2.18128616,42,2.078276525,0.07333957,1.894749075,2.036276786,2.075834527,2.133807415,2.213892285,,0.002842213,0.005824976,1.66E-05,1.45E-05,0.803085192,0.319841938
FDs_FACTOR_0_5_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,0.5,91,1.560234527,0.042894183,1.403818189,1.537895684,1.567967111,1.585255167,1.653093395,37,1.578066387,0.031395137,1.515693522,1.558367604,1.575853956,1.589604204,1.653093395,12,1.563893111,0.025338322,1.52800948,1.541418989,1.563148531,1.580306811,1.604704305,42,1.543480198,0.049220921,1.403818189,1.518724078,1.54674764,1.577852338,1.64248605,,0.162780103,0.066859731,0.000450933,0.000507441,0.173890913,0.096733459
FDs_FACTOR_0_6_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,0.6,91,1.660510769,0.045202076,1.499180261,1.637567057,1.668840042,1.6861976,1.756650454,37,1.679152034,0.033199809,1.610818418,1.656048024,1.676659009,1.691189922,1.756650454,12,1.665215089,0.026403016,1.628230743,1.641655327,1.663219055,1.684529005,1.70801943,42,1.64274461,0.051835179,1.499180261,1.615402174,1.645791146,1.679215814,1.747264407,,0.192641432,0.083279262,0.000459381,0.000441036,0.155262953,0.071209617
FDs_FACTOR_0_7_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,0.7,91,1.748728695,0.046768815,1.583066684,1.726522217,1.756102234,1.776451785,1.843645627,37,1.767820969,0.034473746,1.695957937,1.74207903,1.764070229,1.779800849,1.843645627,12,1.753914724,0.026844574,1.716843921,1.729231977,1.751625367,1.772621135,1.798360999,42,1.730427589,0.0537091,1.583066684,1.702192678,1.733851243,1.768467819,1.837252982,,0.208790489,0.083279262,0.000514295,0.00052543,0.151254601,0.080096535
FDs_FACTOR_0_8_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,0.8,91,1.827775809,0.048254504,1.656704473,1.804005527,1.835097716,1.856376235,1.926326898,37,1.847599953,0.035637576,1.775020606,1.821444291,1.843270107,1.859829778,1.926326898,12,1.832709003,0.027824741,1.795282597,1.808531127,1.829190434,1.851793075,1.879729273,42,1.808902197,0.055333396,1.656704473,1.778877306,1.811933427,1.847980793,1.920336878,,0.193389094,0.083279262,0.000492619,0.000544008,0.157990997,0.077045541
FDs_FACTOR_0_9_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,0.9,91,1.899051347,0.049332274,1.724154313,1.874698696,1.906135724,1.927679643,1.999826207,37,1.919684133,0.036282481,1.847100699,1.894618445,1.91544724,1.93395919,1.999826207,12,1.903663604,0.027778121,1.865941354,1.881097358,1.900065718,1.921243438,1.949874965,42,1.879557057,0.056565073,1.724154313,1.849704362,1.881891724,1.920225804,1.993249884,,0.168495576,0.069925648,0.000408591,0.00052543,0.161279733,0.068421933
FDs_FACTOR_1_0_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1,91,1.963417258,0.050268088,1.783273893,1.937723352,1.971576751,1.991596317,2.065196096,37,1.984807823,0.037157949,1.910127573,1.956938781,1.98116911,2.000260518,2.065196096,12,1.968135874,0.027934195,1.929924541,1.94531234,1.966089065,1.985024201,2.013866714,42,1.943225012,0.057341251,1.783273893,1.911265205,1.947280687,1.983575452,2.054619015,,0.160745536,0.079773546,0.000320911,0.000441036,0.153269661,0.071209617
FDs_FACTOR_1_1_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1.1,91,2.021978942,0.051212046,1.838631921,1.994639379,2.030397809,2.050559926,2.124169381,37,2.044215944,0.037583861,1.96752325,2.015830012,2.04195164,2.06152655,2.124169381,12,2.026450766,0.028441699,1.989375132,2.004115218,2.026777966,2.039254878,2.073662553,42,2.001111537,0.05832332,1.838631921,1.967976882,2.006085793,2.042251251,2.111568584,,0.140345245,0.058284005,0.000246325,0.000331712,0.153266911,0.077045541
FDs_FACTOR_1_2_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1.2,91,2.075955042,0.052239315,1.88715639,2.047573178,2.085126739,2.105643179,2.179348185,37,2.099187311,0.03795353,2.022329936,2.070970546,2.097690069,2.117994674,2.179348185,12,2.079999385,0.029375778,2.040240225,2.058899562,2.082031589,2.091646372,2.127604384,42,2.054332993,0.059357077,1.88715639,2.020309756,2.058740781,2.096253336,2.164992913,,0.116590119,0.045937325,0.000177903,0.000257301,0.155545397,0.083237994
